32,32,27,36,29,31,28,23,,
28.4,29.4,29,34,27,24,23,21,,
30,24,25,27,23,28,26,17,,
21,25.6,29,30,28,29,28,30,,
35.6,37.8,27,28,28,29,36,35,,
23.4,26,27,30,28,31,26,21,,
37,47.8,43,47,47,45,37,43,,
34,26.6,26,29,28,34,33,32,,
29,31.2,26,27,17,32,33,26,,
26.2,28.6,21,25,30,31,32,20,,
35.4,29.4,26,28,28,19,29,27,,
29,25,21,23,32,36,14,19,,
35.8,28.4,28,32,18,32,31,35,,
20.4,22.4,32,32,24,28,25,16,,
34.8,28,35,32,26,32,28,17,,
22.4,31.4,33,34,33,35,25,23,,
34.4,36.8,24,32,28,35,32,34,,
38.2,32.2,35,34,17,28,28,18,,
24.8,24.6,29,26,29,28,29,29,,
29.2,23.8,28,30,22,31,32,21,,
23.4,30.8,35,41,31,36,39,29,,
31.6,36.4,24,32,32,30,24,20,,
34.2,24.6,31,35,33,25,32,25,,
41.8,37.8,28,21,34,34,33,23,,
32.2,25.2,29,27,30,31,25,26,,
39.6,46.8,33,36,32,36,30,30,,
27.8,23.4,21,27,24,35,26,22,,
"22.,4",20.6,26,26,26,30,22,25,,
13.8,16,33,31,35,32,23,16,,
29.8,28,24,26,29,32,36,18,,
32,32,27,36,29,31,28,23,,
23,26.6,28,25,17,29,29,31,,
27.8,24.2,32,29,18,20,13,31,,
34.6,32,25,29,23,24,29,26,,
15.6,28.2,21,31,19,28,18,23,,
24.8,19.2,25,30,22,28,19,25,,
47.4,31.2,36,32,36,37,29,31,,
23.6,22.2,28,35,27,40,23,22,,
37.2,23.6,36,39,34,33,31,16,,
23.2,30.6,30,36,19,21,4,28,,
33.6,34.4,24,24,31,35,32,25,,
19.6,19.2,25,32,36,30,20,17,,
35.6,28.4,36,38,36,28,29,30,,
26.6,21,27,27,25,26,22,19,,
32.8,31,28,37,29,38,25,29,,
29.8,23.4,30,26,27,30,29,29,,
28,24,31,31,29,37,28,28,,
17.6,22.2,28,25,20,35,27,18,,
24.6,22,32,32,36,38,35,27,,
23.4,26,31,33,24,27,31,21,,
33.6,32,34,31,31,37,36,29,,
36.4,36.4,34,32,31,31,37,29,,
,,33,33.6,25,29,25,28,35,34
